370,TED2014,Gabby Giffords and Mark Kelly,Be passionate. Be courageous. Be your best.
1039,TEDWomen 2010,Beverly + Dereck Joubert,Life lessons from big cats
848,TEDxPuget Sound ,Simon Sinek,How great leaders inspire action
1535,TEDGlobal 2012,Kirby Ferguson,Embrace the remix
2337,TEDWomen 2015,Sakena Yacoobi,How I stopped the Taliban from shutting down my school
1665,TEDxDelft,Erik Schlangen,"A ""self-healing"" asphalt"
2652,TED@IBM,Adam Grant,Are you a giver or a taker?
816,DICE Summit 2010,Jesse Schell,When games invade real life
2207,TEDxNewYork,Ismael Nazario,What I learned as a kid in jail
1110,TED2011,Eric Whitacre,"A virtual choir 2,000 voices strong"
1579,TED2012,Thomas P. Campbell,Weaving narratives in museum galleries
2201,TED2014,Rob Knight,How our microbes make us who we are
1752,TEDSalon NY2013,Paola Antonelli,Why I brought Pac-Man to MoMA
465,TED2016,Adam Savage,My love letter to cosplay
1677,TEDxConcorde,Bruno Maisonnier,"Dance, tiny robots!"
376,TEDActive 2014,AJ Jacobs,The world's largest family reunion ... we're all invited!
1724,TED@Intel,Jennifer Healey,"If cars could talk, accidents might be avoidable"
1008,TED2010,Denis Dutton,A Darwinian theory of beauty
555,Elizabeth G. Anderson School,Michelle Obama,"A passionate, personal case for education"
1227,TEDxBoston 2011,Jean-Baptiste Michel + Erez Lieberman Aiden,What we learned from 5 million books
2383,TED@IBM,Chieko Asakawa,How new technology helps blind people explore the world
497,TEDWomen 2016,Jude Kelly,Why women should tell the stories of humanity
2718,TEDNYC,Mona Chalabi,3 ways to spot a bad statistic
2440,TED2016,Raffaello D'Andrea,Meet the dazzling flying machines of the future
851,TEDIndia 2009,Anil Gupta,India's hidden hotbeds of invention
2691,TEDWomen 2016,Brittney Cooper,The racial politics of time
1527,TEDGlobal 2012,Wayne McGregor,A choreographer's creative process in real time
2566,TEDSummit,Sarah Parcak,Hunting for Peru's lost civilizations -- with satellites
1561,TEDGlobal 2012,Jonathan Trent,Energy from floating algae pods
820,TEDxNASA,Dennis Hong,My seven species of robot -- and how we created them
644,TED@State,Jacqueline Novogratz,A third way to think about aid
2284,TEDWomen 2015,Roxane Gay,Confessions of a bad feminist
267,TED2002,Arthur Ganson,Moving sculpture
1285,TEDxOrangeCoast,Amy Purdy,Living beyond limits
980,Business Innovation Factory,Natalie Jeremijenko,The art of the eco-mindshift
2400,TEDGlobal>Geneva,Wael Ghonim,Let's design social media that drives real change
713,TEDIndia 2009,Ryan Lobo,Photographing the hidden story
2253,TED2015,Roman Mars,Why city flags may be the worst-designed thing you've never noticed
1276,TEDGlobal 2011,Robin Ince,Science versus wonder?
723,TEDGlobal 2009,Bertrand Piccard,My solar-powered adventure
1905,TEDGlobal 2013,Mark Kendall,Demo: A needle-free vaccine patch that's safer and way cheaper
983,TEDGlobal 2010,Jessica Jackley,"Poverty, money -- and love"
2378,TEDxToulouse,Guillaume Néry,The exhilarating peace of freediving
1034,TEDxMidAtlantic,Diana Laufenberg,How to learn? From mistakes
2141,TEDGlobal 2014,Mark Plotkin,What the people of the Amazon know that you don't
1062,TEDMED 2010,Bruce Feiler,The council of dads
128,TED2007,John Doerr,Salvation (and profit) in greentech
986,Mission Blue Voyage,Dianna Cohen,Tough truths about plastic pollution
2110,TEDGlobal 2014,Melissa Fleming,"Let's help refugees thrive, not just survive"
2343,TED2015,Siddhartha Mukherjee,"Soon we'll cure diseases with a cell, not a pill"
2871,TED2017,Jun Wang,How digital DNA could help you make better health choices
1241,TEDGlobal 2011,Alison Gopnik,What do babies think?
2404,TEDxMarin,David Sedlak,4 ways we can avoid a catastrophic drought
1958,TED2014,Del Harvey,Protecting Twitter users (sometimes from themselves)
1806,TED2013,Jinsop Lee,Design for all 5 senses
1583,TEDGlobal 2012,Vicki Arroyo,Let's prepare for our new climate
2099,TEDxBeaconStreet,Susan Colantuono,The career advice you probably didn’t get
200,TED2007,Daniel Goleman,Why aren't we more compassionate?
1795,TEDGlobal 2013,Paul Kemp-Robertson,Bitcoin. Sweat. Tide. Meet the future of branded currency.
1051,TEDSalon London 2010,Thomas Thwaites,How I built a toaster -- from scratch
1532,TEDGlobal 2012,Becci Manson,(Re)touching lives through photos
72,TED2004,Chris Anderson,Technology's long tail
1130,TED2011,Ric Elias,3 things I learned while my plane crashed
2484,TED2016,Kenneth Lacovara,Hunting for dinosaurs showed me our place in the universe
1127,TED2011,John Hunter,Teaching with the World Peace Game
2150,TEDGlobal 2014,Dave Troy,Social maps that reveal a city's intersections — and separations
1606,TEDxToronto 2011,Adam Garone,"Healthier men, one moustache at a time"
2174,TEDGlobal 2014,Severine Autesserre,"To solve mass violence, look to locals"
1103,TEDxPeachtree,Paul Root Wolpe,It's time to question bio-engineering
1976,TED2014,Jeremy Kasdin,The flower-shaped starshade that might help us detect Earth-like planets
659,TEDGlobal 2009,Henry Markram,A brain in a supercomputer
1487,TED2012,Peter Norvig,"The 100,000-student classroom"
1567,TEDxExeter,Bandi Mbubi,Demand a fair trade cell phone
1386,TED-Ed,Chris Anderson (TED),Questions no one knows the answers to
2025,TEDSalon NY2014,Pico Iyer,The art of stillness
206,TED2007,David Gallo,Underwater astonishments
2028,TEDSalon NY2014,Jamila Lyiscott,3 ways to speak English
916,TEDGlobal 2010,Ethan Zuckerman,Listening to global voices
2338,TEDxKC,Martin Pistorius,How my mind came back to life — and no one knew
314,TED2013,Jennifer Granholm,A clean energy proposal -- race to the top!
2056,TEDxClaremontColleges,Talithia Williams,Own your body's data
117,TED2002,Natalie MacMaster,Cape Breton fiddling in reel time
2417,TEDxCERN,Linda Liukas,A delightful way to teach kids about computers
2237,TED2015,Jedidah Isler,"How I fell in love with quasars, blazars and our incredible universe"
1566,TEDMED 2012,Ed Gavagan,A story about knots and surgeons
1675,TEDSalon NY2013,Bruce Feiler,Agile programming -- for your family
1801,TED2011,Julie Taymor,"Spider-Man, The Lion King and life on the creative edge"
2003,TEDxMidAtlantic 2013,Jackie Savitz,"Save the oceans, feed the world!"
2042,TEDxExeter,Karima Bennoune,When people of Muslim heritage challenge fundamentalism
1484,TEDxSummit,Raghava KK,What's your 200-year plan?
1514,TEDxStanford,Baba Shiv,Sometimes it's good to give up the driver's seat
494,TED2009,Jacqueline Novogratz,An escape from poverty
521,TED2009,Nate Silver,Does racism affect how you vote?
1357,TEDxAmericanRiviera,Jenna McCarthy,What you don't know about marriage
2328,TEDWomen 2015,Mia Birdsong,The story we tell about poverty isn't true
1387,TED-Ed,David Gallo,Deep ocean mysteries and wonders
581,TEDxUSC,Qi Zhang,An electrifying organ performance
345,TED2002,Keith Bellows,The camel's hump
359,EG 2007,Liz Diller,The Blur Building and other tech-empowered architecture
917,TEDGlobal 2010,Elif Shafak,The politics of fiction
1153,TED2011,Bruce Aylward,How we'll stop polio for good
1430,TED2012,Nancy Lublin,Texting that saves lives
452,TEDWomen 2015,Jane Fonda and Lily Tomlin,A hilarious celebration of lifelong female friendship
526,TED2004,Michael Merzenich,Growing evidence of brain plasticity
364,TED2003,James Burchfield,Playing invisible turntables
603,TED2009,Nina Jablonski,Skin color is an illusion
2011,TEDSalon NY2014,Kwame Anthony Appiah,Is religion good or bad? (This is a trick question)
1574,TEDxBoston 2012,Andrew McAfee,Are droids taking our jobs?
852,TED2010,Nicholas Christakis,The hidden influence of social networks
977,TEDxChange,Melinda Gates,What nonprofits can learn from Coca-Cola
